no_correlativo,year,dia,mes,departamento,origen,destino,hora_ingreso,hora_egreso,no_vuelo,operador,tipo_operacion,fecha,borrar,tipo_aeronave,puerta,matricula
32,2022,17,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
33,2022,24,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
34,2022,31,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
35,2022,4,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
36,2022,11,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
37,2022,18,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
38,2022,25,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
39,2022,5,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
40,2022,12,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
41,2022,19,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
42,2022,26,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
43,2022,6,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
44,2022,13,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
45,2022,20,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
46,2022,27,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
47,2022,7,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
48,2022,14,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
49,2022,21,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
50,2022,28,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
51,2022,8,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
52,2022,15,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
53,2022,22,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
54,2022,29,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
55,2022,9,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
56,2022,16,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
57,2022,23,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
58,2022,30,3,MANTO,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
63,2022,1,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-01T00:00:00.0000000,False,B737-800,12,HP-1721
65,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,HP-1833
66,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,HP-1847
67,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,
68,2022,2,3,PXS,PTY,PTY,10:42:00,14:02:00,407,COPA,TRANSITO,2022-03-02T00:00:00.0000000,False,B737-800,12,HP-1841
69,2022,3,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,B737-800,12,
71,2022,3,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,B737-800,12,
73,2022,3,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,B737-800,12,
74,2022,4,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-04T00:00:00.0000000,False,B737-800,12,HP-1854
75,2022,4,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-04T00:00:00.0000000,False,B737-700,12,HP-1525
76,2022,4,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-04T00:00:00.0000000,False,B737-800,12,HP-1538
77,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,407,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,HP-1526
78,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,HP-1538
81,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,HP-1831
82,2022,5,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-05T00:00:00.0000000,False,B737-800,12,
83,2022,6,3,PXS,PTY,PTY,10:42:00,14:02:00,392,COPA,TRANSITO,2022-03-06T00:00:00.0000000,False,B737-800,12,HP-1727
85,2022,6,3,PXS,PTY,PTY,10:42:00,14:02:00,389,COPA,TRANSITO,2022-03-06T00:00:00.0000000,False,B737-700,12,
86,2022,6,3,PXS,PTY,PTY,10:42:00,14:02:00,384,COPA,TRANSITO,2022-03-06T00:00:00.0000000,False,B737-700,12,
87,2022,7,3,PXS,PTY,PTY,10:42:00,14:02:00,407,COPA,TRANSITO,2022-03-07T00:00:00.0000000,False,B737-700,12,HP-1524
88,2022,3,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
89,2022,10,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
90,2022,17,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
91,2022,24,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
92,2022,31,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
93,2022,4,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
94,2022,11,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
95,2022,18,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
96,2022,25,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
97,2022,5,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
98,2022,12,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
99,2022,19,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
100,2022,26,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
101,2022,6,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
102,2022,13,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
103,2022,20,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
104,2022,27,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
105,2022,7,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
106,2022,14,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
107,2022,21,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
108,2022,28,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
109,2022,8,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
110,2022,15,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
111,2022,22,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
112,2022,29,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
113,2022,9,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
114,2022,16,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
115,2022,23,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
116,2022,30,3,TALLER,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
117,2022,3,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
118,2022,10,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
119,2022,17,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
120,2022,24,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
121,2022,31,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
122,2022,4,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
123,2022,11,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
124,2022,18,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
125,2022,25,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
126,2022,5,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
127,2022,12,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
128,2022,19,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
129,2022,26,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
130,2022,6,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
131,2022,13,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
132,2022,20,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
133,2022,27,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
134,2022,7,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
135,2022,14,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
136,2022,21,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
137,2022,28,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
138,2022,8,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
139,2022,15,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
140,2022,22,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
141,2022,29,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
142,2022,9,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
143,2022,16,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
144,2022,23,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
145,2022,30,3,SAP,PTY,PTY,10:42:00,14:02:00,358/384,COPA,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
146,2022,3,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,,,
147,2022,10,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,01 COMBEX,TG-TJH
148,2022,17,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,REMOTA NORTE,TG-TJG
149,2022,24,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,2,TG-TJG
150,2022,31,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,02,TG-TJG
151,2022,7,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,,,
152,2022,14,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,01,TG-TJH
153,2022,21,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,01,TG-TJG
154,2022,28,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,,,
155,2022,8,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,,,
156,2022,15,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,,,
157,2022,22,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,01,TG-TJG
158,2022,29,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,1,TG-TJG
159,2022,9,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,1,TG-TJG
160,2022,16,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,1,TG-TJG
161,2022,23,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,LET-410,01,TG-TJG
162,2022,30,3,CGO,GUA,SAL,,10:00:00,8139,FEDEX,DESPACHO,2022-03-03T00:00:00.0000000,False,,,
163,2022,3,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,,,
164,2022,10,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,02 COMBEX,TG-TJH
165,2022,17,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,2,TG-TJG
166,2022,24,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,2,TG-TJG
167,2022,31,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,02,TG-TJG
168,2022,7,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,R/N,TG-TJG
169,2022,14,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,R/N,TG-TJH
170,2022,21,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,,,
171,2022,28,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,,,
172,2022,8,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,,,
173,2022,15,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,,,
174,2022,22,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,01,TG-TJG
175,2022,29,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,NORTE,TG-TJG
176,2022,9,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,1,TG-TJG
177,2022,16,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,REMOTA NORTE,TG-TJG
178,2022,23,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,LET-410,02,TG-TJG
179,2022,30,3,CGO,SAL,GUA,13:00:00,,7139,FEDEX,RECEPCION,2022-03-03T00:00:00.0000000,False,,,
180,2022,6,3,CCO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
181,2022,13,3,CCO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
182,2022,20,3,CCO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
183,2022,27,3,CCO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
184,2022,6,3,CGO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,B757-200,1,N454UP
185,2022,13,3,CGO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,B757-200,01,N470UP
186,2022,20,3,CGO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,B757-200,01 COMBEX,N457UP
187,2022,27,3,CGO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
188,2022,6,3,MANTO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
189,2022,13,3,MANTO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
190,2022,20,3,MANTO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
191,2022,27,3,MANTO,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
192,2022,6,3,TALLER,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
193,2022,13,3,TALLER,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
194,2022,20,3,TALLER,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
195,2022,27,3,TALLER,MIA,MIA,00:00:00,01:48:00,362/363,UPS,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
196,2022,3,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
197,2022,10,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
198,2022,17,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
199,2022,24,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
200,2022,31,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
201,2022,4,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,,,
202,2022,11,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,B757-200,R/N,HP-2010
203,2022,18,3,CGO,MIA,SAP,09:25:00,10:30:00,5455/5457,DHL,TRANSITO,2022-03-03T00:00:00.0000000,False,B757-200,2,
